sequence_id,subject,category,file_name,source_relative_path,actual_duration_seconds,official_duration_seconds,fall_onset_seconds,fall_end_seconds,fall_label,fall_type,fall_interval_source,time_of_recording,attire,description,classes
gmdcsa24_4f178dea77bf9abb,Subject 4,Fall,03.mp4,Subject 4/Fall/03.mp4,6.705533,6.0,1.7,6.0,Falling (FW),FW,official_explicit_interval,Day (Lights Off),Full Shirt & Pant,Walking then falling (forward) view 1,Falling (FW)[1.7 to 6]; Walking[0 to 1.7]
gmdcsa24_4f288257071fb98f,Subject 2,Fall,15.mp4,Subject 2/Fall/15.mp4,11.6653,11.0,7.7,11.0,Falling (SW),SW,official_explicit_interval,Day,T-Shirt & Pants 2,Writing while sitting on the bed; then falling on the ground,Falling (SW)[7.7 to 11]; Sitting[0 to 7.7]; Writing[0 to 4.6]
gmdcsa24_4f8d1eb75dc0286a,Subject 3,ADL,14.mp4,Subject 3/ADL/14.mp4,8.865633,8.0,,,,ADL,unparsed,Night,Full T-shirt (different) & Trousers,Sitting on the floor & drinking water from the water bottle,Drinking[3.5 to 6]; Sitting[0 to 8]
gmdcsa24_508789b90c215b33,Subject 2,ADL,21.mp4,Subject 2/ADL/21.mp4,10.529333,10.0,,,,ADL,unparsed,Night,Full Shirt & Jeans,Picking up a pen from the ground and walking,Standing[0 to 6.6]; Walking[6.6 to 10]
gmdcsa24_5100230c1f7d22a4,Subject 3,ADL,09.mp4,Subject 3/ADL/09.mp4,7.776,7.0,,,,ADL,unparsed,Day,Full T-shirt & Trousers,Sleeping on the floor to sitting and then standing,Sitting[2.5 to 6]; Sleeping[0 to 2.2]; Standing[6.2 to 7]
gmdcsa24_55defae6328e428c,Subject 2,ADL,17.mp4,Subject 2/ADL/17.mp4,11.665567,11.0,,,,ADL,unparsed,Night,Full Shirt & Jeans,Standing up from bed; walking; and checking the dress on the hanger,Standing[3.5 to 4; 6.8 to 10]; Walking[4.1 to 6.8]
gmdcsa24_578943abf6c5a86a,Subject 2,ADL,06.mp4,Subject 2/ADL/06.mp4,10.7534,10.0,,,,ADL,unparsed,Day,Full Shirt & Pant,Picking up the mobile phone from the ground; placing it on the bed; and sitting on the bed,Sitting[9.7 to 3]; Standing[0 to 0.5; 4.2 to 6.5]; Walking[0.5 to 1.8; 6 to 8.7]
gmdcsa24_5cf456ef4e1efb3a,Subject 2,ADL,14.mp4,Subject 2/ADL/14.mp4,11.057567,11.0,,,,ADL,unparsed,Night,Full Shirt & Jeans,Walking and reading something while sitting on the bed,Reading[8.6 to 11]; Sitting[4.6 to 11]; Walking[0 to 3.6]
gmdcsa24_627ad7248c4d9549,Subject 2,Fall,12.mp4,Subject 2/Fall/12.mp4,12.2574,12.0,6.9,12.0,Falling (BW),BW,official_explicit_interval,Night,Full Shirt & Jeans,Drinking water from the water bottle then falling backwards,Falling (BW)[6.9 to 12]; Drinking[3.5 to 5.3]; Standing[3.6 to 6.9]; Walking[0 to 3.6]
gmdcsa24_67fdb5cc193595f7,Subject 4,ADL,13.mp4,Subject 4/ADL/13.mp4,5.489533,5.0,,,,ADL,unparsed,Day (Lights On),Full Shirt & Pant,Writing while sitting on the chair,Sitting[0 to 5]; Writing[0 to 5]
gmdcsa24_6bd447b9c5a7aeda,Subject 3,Fall,14.mp4,Subject 3/Fall/14.mp4,12.3056,12.0,8.1,12.0,Falling (BW),BW,official_explicit_interval,Day,Full T-shirt; Shirt  & Trouser,Falling backward on the floor while removing the shirt and trying to hang it on the hangar,Falling (BW)[8.1 to 12]; Standing[4.6 to 8.1];Walking[0 to 4.6]
gmdcsa24_6c0ffeb02a74d64e,Subject 1,ADL,07.mp4,Subject 1/ADL/07.mp4,7.537233,7.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,Reading book while sitting on the chair; Front view;Leg straight,Reading[0 to 5.5]; Sitting[0 to 7]
gmdcsa24_6d9539cbb137c9de,Subject 3,Fall,02.mp4,Subject 3/Fall/02.mp4,6.5617,6.0,2.6,6.0,Fall (FW),FW,official_explicit_interval,Day,Full T-shirt & Trouser,Falling on the bed (forward),Fall (FW)[2.6 to 6]; Standing[1.3 to 2.2]; Walking[0 to 1.3]
gmdcsa24_6dac7d85d2cca8c4,Subject 2,Fall,17.mp4,Subject 2/Fall/17.mp4,6.497367,6.0,2.5,6.0,Falling (FW),FW,official_explicit_interval,Day,T-Shirt & Pants 2,Walking then falling forward,Falling (FW)[2.5 to 6]; Walking[0 to 2.1]
gmdcsa24_6e410abbc6d4ef7b,Subject 4,ADL,07.mp4,Subject 4/ADL/07.mp4,4.9934,4.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Doing exercise (push-up); view 3,Exercising[0 to 4]
gmdcsa24_6fa12e415b47769e,Subject 3,ADL,04.mp4,Subject 3/ADL/04.mp4,10.0495,10.0,,,,ADL,unparsed,Day,Full T-shirt & Trousers,Picking a book from the floor and putting it on the bed; sitting on the bed,Sitting[9.2 to 10]; Standing[2.4 to 3.6; 6.6 to 7.9; Walking[3.6 to 5.2; 7.9 to 9.2]
gmdcsa24_700b8e5e81952f83,Subject 2,ADL,01.mp4,Subject 2/ADL/01.mp4,11.393667,11.0,,,,ADL,unparsed,Day,Full Shirt & Pant,Talking on the mobile phone while sitting on the bed and walking,Sitting [0 to 7]; Standing [7.3 to 8.1]; Walking[8.1 to 11]
gmdcsa24_70441829855ae240,Subject 2,ADL,22.mp4,Subject 2/ADL/22.mp4,12.1293,12.0,,,,ADL,unparsed,Night,Full Shirt & Jeans,Exercising (Push-up) and sitting,Exercising[1.9 to 8.3]; Sitting[9.5 to 10.5]
gmdcsa24_71fb19f5127a0b07,Subject 1,ADL,06.mp4,Subject 1/ADL/06.mp4,12.2255,12.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,Sitting on the bed (front view) to reading the book while supporting towards the wall. Side view,Reading[3 to 12]; Sitting[0 to 2]
gmdcsa24_75d01033fa0e56d2,Subject 2,ADL,07.mp4,Subject 2/ADL/07.mp4,12.9934,13.0,,,,ADL,unparsed,Day,Full Shirt & Pant,Exercising (Moving both hands up and down),Exercising[0 to 13]; Standing[0 to 13]
gmdcsa24_76d5150ef358dd6c,Subject 4,Fall,04.mp4,Subject 4/Fall/04.mp4,4.721567,4.0,1.2,4.0,Falling (FW),FW,official_explicit_interval,Day (Lights Off),Full Shirt & Pant,Walking then falling (forward) view 2,Falling (FW)[1.2 to 4]
gmdcsa24_781f8a2ec152ba27,Subject 1,ADL,01.mp4,Subject 1/ADL/01.mp4,8.273533,8.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,Sitting on the bed to sleeping right side on the bed. Face towards camera,Sitting[0 to 1]; Sleeping[2 to 8]
gmdcsa24_7931179693dd93e4,Subject 4,Fall,07.mp4,Subject 4/Fall/07.mp4,6.305033,6.0,2.4,6.0,Falling (SW),SW,official_explicit_interval,Day (Lights Off),Full Shirt & Pant,Walking then falling (LS) on the floor,Falling (SW)[2.4 to 6]; Walking[0 to 1.6]
gmdcsa24_7b222f738d94bcf9,Subject 4,ADL,19.mp4,Subject 4/ADL/19.mp4,9.905333,9.0,,,,ADL,unparsed,Day (Lights On),Full Shirt & Pant,Walking; then picking up the biscuit jar and eating biscuits from it after sitting on the bed,Eating[7.7 to 9]; Sitting[6.9 to 9]; Standing[3 to 6.4]; Walking[0 to 1.7]
gmdcsa24_7c30439dc4f50752,Subject 4,ADL,12.mp4,Subject 4/ADL/12.mp4,8.6093,8.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Stopping copying from a book and drinking water while sitting on the floor,Drinking[4.5 to 8]; Reading[0 to 1.6]; Sitting[0 to 8]; Writing[0 to 1.6]
gmdcsa24_7c57683db153b4a0,Subject 4,Fall,02.mp4,Subject 4/Fall/02.mp4,2.977367,2.0,1.5,2.0,Falling (SW),SW,official_explicit_interval,Day (Lights On),Full Shirt & Pant,Falling (LS) from the bed to the floor,Falling (SW)[1.5 to 2]; Sleeping[0 to 1.4]
gmdcsa24_7c9d0973f9a1561e,Subject 2,Fall,23.mp4,Subject 2/Fall/23.mp4,7.537833,7.0,3.6,7.0,Falling (SW),SW,official_explicit_interval,Day,T-Shirt & Pants 2,Standing then falling sideways,Falling (SW)[3.6 to 7]; Standing[0 to 3.6]
gmdcsa24_7f1800614831c51d,Subject 1,ADL,09.mp4,Subject 1/ADL/09.mp4,4.9936,4.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,Reading book while walking in the room,Reading[0 to 4]; Walking[0 to 4]
gmdcsa24_809bda6affe5fe6c,Subject 2,ADL,18.mp4,Subject 2/ADL/18.mp4,11.665333,11.0,,,,ADL,unparsed,Night,Full Shirt & Jeans,Walking; opening the window; and looking outside,Standing[2 to 11]; Walking[0 to 2]
gmdcsa24_820bbbb1189ee2fe,Subject 4,ADL,01.mp4,Subject 4/ADL/01.mp4,12.4014,12.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Wiping the face with a handkerchief while sitting on the bed; cleaning the goggles and putting them on,Sitting[0 to 12]
gmdcsa24_8302abcc99e491cf,Subject 2,Fall,14.mp4,Subject 2/Fall/14.mp4,11.201433,11.0,3.4,11.0,Falling (BW),BW,official_explicit_interval,Night,Full Shirt & Jeans,Falling backward on the bed,Falling (BW)[3.4 to 11]; Standing[0 to 3.2]
gmdcsa24_8353ad735c66f180,Subject 3,ADL,05.mp4,Subject 3/ADL/05.mp4,5.1693,5.0,,,,ADL,unparsed,Day,Full T-shirt & Trousers,Exercising (hand down & up with body bending),Exercising[0 to 5]; Standing[0 to 5]
gmdcsa24_85e226a74c71553c,Subject 2,ADL,11.mp4,Subject 2/ADL/11.mp4,9.9853,10.0,,,,ADL,unparsed,Day,Full Shirt; T-shirt & Pant,Removing the shirt and hanging it on the hanger,Standing[0 to 4.7]; Walking[5 to 6.5; 8 to 10]
gmdcsa24_86a20851a1d3bfac,Subject 3,Fall,07.mp4,Subject 3/Fall/07.mp4,9.0254,9.0,1.0,9.0,Falling (BW),BW,official_explicit_interval,Day,Full T-shirt & Trouser,Falling on the floor from the standing position,Falling (BW)[1 to 9]; Standing[0 to 1]
gmdcsa24_89ed574427ac26e0,Subject 3,Fall,01.mp4,Subject 3/Fall/01.mp4,3.8095,3.0,0.0,3.0,Fall (FW),FW,official_explicit_interval,Day,Full T-shirt & Trouser,falling forward,Fall (FW)[0 to 3]
gmdcsa24_8a0be863f3d25149,Subject 4,Fall,13.mp4,Subject 4/Fall/13.mp4,4.993367,5.0,0.3,5.0,Falling (SW),SW,official_explicit_interval,Day (Lights On),T-Shirt & Pant,Falling (sideways) on the bed from sitting on the bed,Falling (SW)[0.3 to 5]
gmdcsa24_8fe5e2a87c3d72b6,Subject 1,ADL,02.mp4,Subject 1/ADL/02.mp4,6.689533,6.0,,,,ADL,unparsed,Day (Light On),Full T-shirt & Trousers,Sitting on the bed to sleeping left side on the bed. Face towards the camera,Sitting[0 to 0.5]; Sleeping[1.5 to 6]
gmdcsa24_92b7789b30b1cd13,Subject 2,Fall,19.mp4,Subject 2/Fall/19.mp4,15.5213,15.0,8.2,15.0,Falling (FW),FW,official_explicit_interval,Day,T-Shirt & Pants 2,Eating in standing position then falling forward,Falling (FW)[8.2 to 15]; Eating[0.9 4.6]; Standing[0 to 8.1]
gmdcsa24_93a5b6e7410bf663,Subject 1,Fall,10.mp4,Subject 1/Fall/10.mp4,4.4974,4.0,0.7,4.0,Falling (FW),FW,official_explicit_interval,Day (Light On),Full T-shirt & Trousers,Standing position to falling. Forward Fall. Full body (right eye) not visible,Falling (FW)[0.7 to 4]; Standing[0 to 0.7]
gmdcsa24_94d467ff662ef086,Subject 4,ADL,11.mp4,Subject 4/ADL/11.mp4,10.721467,10.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Copying content from a book into a notebook while sitting on the floor,Sitting[0 to 10]; Writing[2.7 to 10]
gmdcsa24_9547a6408eeeca6d,Subject 4,ADL,10.mp4,Subject 4/ADL/10.mp4,12.8012,12.0,,,,ADL,unparsed,Day (Lights Off),Full Shirt & Pant,Walking then sleeping on the bed after removing the goggles,Sleeping[4.3 to 12]; Walking[0 to 1.4]
